 INFO | 18/Dec/2013 09:42:36,573 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,582 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,597 | Airport.java:66 | Airport created with name: Airport Test and landing fields: 3
 INFO | 18/Dec/2013 09:42:36,600 | DaoFactory.java:46 | Airport DAO created
 INFO | 18/Dec/2013 09:42:36,601 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,602 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,611 | ControlTowerUtils.java:150 | Object to serialize: es.upm.emse.softdesign.controltower.model.airport.Airport@686cea
 INFO | 18/Dec/2013 09:42:36,612 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,615 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,628 | ControlTowerUtils.java:174 | Object serialized
 INFO | 18/Dec/2013 09:42:36,632 | Airport.java:66 | Airport created with name: Airport Test and landing fields: 3
 INFO | 18/Dec/2013 09:42:36,636 | DaoFactory.java:46 | Airport DAO created
 INFO | 18/Dec/2013 09:42:36,637 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,638 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,640 | ControlTowerUtils.java:78 | Object to get: airport---Airport Test
 INFO | 18/Dec/2013 09:42:36,646 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,677 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,707 | ControlTowerUtils.java:92 | object load:es.upm.emse.softdesign.controltower.model.airport.Airport@1af0fcf
 INFO | 18/Dec/2013 09:42:36,707 | AirportDAO.java:79 | Returning airport :Airport Test
 INFO | 18/Dec/2013 09:42:36,715 | Airport.java:66 | Airport created with name: Airport Test and landing fields: 3
 INFO | 18/Dec/2013 09:42:36,716 | DaoFactory.java:46 | Airport DAO created
 INFO | 18/Dec/2013 09:42:36,721 | Airport.java:66 | Airport created with name: ToDelete and landing fields: 10
 INFO | 18/Dec/2013 09:42:36,722 | ControlTowerUtils.java:150 | Object to serialize: es.upm.emse.softdesign.controltower.model.airport.Airport@37153d
 INFO | 18/Dec/2013 09:42:36,728 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,730 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,742 | ControlTowerUtils.java:174 | Object serialized
 INFO | 18/Dec/2013 09:42:36,748 | ControlTowerUtils.java:349 | Object to delete: ToDelete
 INFO | 18/Dec/2013 09:42:36,748 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,751 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,753 | ControlTowerUtils.java:360 | Object was not deleted, trying delete On Exit 
 INFO | 18/Dec/2013 09:42:36,758 | AirportDAO.java:176 | object: ToDelete deleted
 INFO | 18/Dec/2013 09:42:36,759 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,766 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,813 | Airport.java:66 | Airport created with name: Airport Test and landing fields: 3
 INFO | 18/Dec/2013 09:42:36,814 | DaoFactory.java:46 | Airport DAO created
 INFO | 18/Dec/2013 09:42:36,819 | Airport.java:66 | Airport created with name: new1 and landing fields: 10
 INFO | 18/Dec/2013 09:42:36,820 | Airport.java:66 | Airport created with name: new2 and landing fields: 10
 INFO | 18/Dec/2013 09:42:36,825 | ControlTowerUtils.java:150 | Object to serialize: es.upm.emse.softdesign.controltower.model.airport.Airport@53033e
 INFO | 18/Dec/2013 09:42:36,828 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,832 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,844 | ControlTowerUtils.java:174 | Object serialized
 INFO | 18/Dec/2013 09:42:36,852 | ControlTowerUtils.java:150 | Object to serialize: es.upm.emse.softdesign.controltower.model.airport.Airport@eb607d
 INFO | 18/Dec/2013 09:42:36,853 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,855 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,864 | ControlTowerUtils.java:174 | Object serialized
 INFO | 18/Dec/2013 09:42:36,870 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,872 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,909 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,915 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
